device,condition,frame,quality_template_corr,quality_gate_passed,orientation_margin,orientation_gate_passed,pose_initial_corr,pose_final_corr,pose_refined,pose_attempted,pose_gate_passed,pose_angle_deg,pose_scale,pose_tx32,pose_ty32,raw_mismatch_bits,raw_hd,observed_ones,observed_uniformity_percent,decoder_attempted,decoder_converged,decoder_iterations,unsatisfied_checks,estimated_error_bits,exact_reference_recovered,accepted,outcome_stage
M1,M1_10mA_30C_0,frame_0045.png,0.7732044458389282,True,,True,0.7732044458389282,0.7732044458389282,False,False,True,0.0,1.0,0.0,0.0,8,0.00390625,1024,50.0,True,True,1,0,8,True,True,accepted
M1,M1_10mA_30C_0,frame_0058.png,0.8158235549926758,True,,True,0.8158235549926758,0.8158235549926758,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0064.png,0.8259514570236206,True,,True,0.8259514570236206,0.8259514570236206,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0070.png,0.8249815106391907,True,,True,0.8249815106391907,0.8249815106391907,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0073.png,0.8195511102676392,True,,True,0.8195511102676392,0.8195511102676392,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0075.png,0.8120721578598022,True,,True,0.8120721578598022,0.8120721578598022,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0080.png,0.8310409784317017,True,,True,0.8310409784317017,0.8310409784317017,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0084.png,0.8311181664466858,True,,True,0.8311181664466858,0.8311181664466858,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1021,49.853515625,True,True,1,0,1,True,True,accepted
M1,M1_10mA_30C_0,frame_0085.png,0.7852272987365723,True,,True,0.7852272987365723,0.7852272987365723,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0086.png,0.8255375027656555,True,,True,0.8255375027656555,0.8255375027656555,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1024,50.0,True,True,1,0,2,True,True,accepted
